District_Name,State_Full,Agency ID - NCES Assigned,FIPS_Code,Total_Students,FTE_Teachers,Student_Teacher_Ratio,State_Abbr,Poverty_Rate,Median_Household_Income,Unemployment_Rate,Graduation_Outcome
TENAFLY PUBLIC SCHOOL DISTRICT,New Jersey,3416110.0,34003,3545.0,306.2,11.577400391900719,NJ,6.6000000000000005,116157.0,3.9000000000000004,High (>=90%)
TENAHA ISD,Texas,4842360.0,48419,455.0,40.7,11.179361179361178,TX,18.0,54359.0,4.5,Medium (80-89%)
TENINO SCHOOL DISTRICT,Washington,5308820.0,53067,1287.0,78.98,16.295264623955433,WA,9.9,92357.0,4.1000000000000005,High (>=90%)
TENKILLER,Oklahoma,4029670.0,40021,197.0,15.69,12.55576800509879,OK,18.7,50434.0,3.5,Medium (80-89%)
TENNESSEE PUBLIC CHARTER SCHOOL COMMISSION,TENNESSEE,4700157.0,47037,3818.0,216.72,17.617201919527503,TN,12.3,80216.0,2.7,Medium (80-89%)
TENNESSEE SCHOOL FOR BLIND,Tennessee,4700145.0,47037,127.0,29.0,4.379310344827586,TN,12.3,80216.0,2.7,Medium (80-89%)
TENNESSEE SCHOOLS FOR THE DEAF,Tennessee,4700146.0,47093,144.0,37.05,3.8866396761133606,TN,13.8,70457.0,2.8000000000000003,Medium (80-89%)
TENSAS PARISH,Louisiana,2201710.0,22107,347.0,23.98,14.470391993327773,LA,30.8,35670.0,5.1000000000000005,Low (<80%)
TERLINGUA CSD,Texas,4842390.0,48043,122.0,13.32,9.15915915915916,TX,13.700000000000001,57871.0,3.2,Medium (80-89%)
TERRA ACADEMY,UTAH,4900179.0,49047,646.0,28.87,22.37616903359889,UT,11.100000000000001,70989.0,3.3000000000000003,Medium (80-89%)
TERRA BELLA UNION ELEMENTARY,California,639060.0,06107,741.0,38.48,19.256756756756758,CA,17.5,71368.0,10.0,Medium (80-89%)
TERRA NOVA SCHOOL,MINNESOTA,2700403.0,27171,112.0,5.45,20.550458715596328,MN,5.4,104303.0,2.9000000000000004,High (>=90%)
TERRAL,Oklahoma,4029760.0,40067,32.0,5.0,6.4,OK,24.200000000000003,43298.0,3.6,Low (<80%)
TERREBONNE PARISH,Louisiana,2201740.0,22109,15772.0,816.0,19.32843137254902,LA,16.1,62566.0,3.4000000000000004,Medium (80-89%)
TERRELL COUNTY,Georgia,1304860.0,13273,1035.0,71.2,14.536516853932584,GA,28.1,45616.0,4.5,Low (<80%)
TERRELL COUNTY ISD,Texas,4842420.0,48443,129.0,15.12,8.531746031746032,TX,18.6,47947.0,3.5,Medium (80-89%)
TERRELL ISD,Texas,4842450.0,48257,5208.0,310.99,16.74651918068105,TX,9.600000000000001,90064.0,4.1000000000000005,High (>=90%)
TERRY K-12 SCHOOLS,Montana,3025950.0,30079,145.0,14.73,9.843856076035301,MT,13.4,52555.0,2.5,Medium (80-89%)
TETON,Montana,3000080.0,30099,,,,MT,13.3,71393.0,2.9000000000000004,Medium (80-89%)
TETON COUNTY DISTRICT,Idaho,1603180.0,16081,1878.0,112.82,16.645984754476157,ID,6.6000000000000005,94895.0,2.3000000000000003,High (>=90%)
TETON COUNTY SCHOOL DISTRICT #1,Wyoming,5605830.0,56039,2797.0,254.29,10.99925282158166,WY,6.2,130156.0,2.1,High (>=90%)
TEUTOPOLIS CUSD 50,Illinois,1738760.0,17049,1081.0,72.58,14.893910168090384,IL,9.8,72158.0,3.2,High (>=90%)
TEWKSBURY,Massachusetts,2511580.0,25017,3278.0,255.22,12.843821017161664,MA,7.7,123288.0,2.9000000000000004,High (>=90%)
TEWKSBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,3416170.0,34019,506.0,54.0,9.37037037037037,NJ,4.800000000000001,136407.0,3.5,High (>=90%)
TEXANS CAN ACADEMIES,Texas,4800016.0,48113,3790.0,201.3,18.827620466964728,TX,13.8,74352.0,3.8000000000000003,Medium (80-89%)
TEXARKANA ISD,Texas,4842480.0,48037,7180.0,561.8,12.780348878604487,TX,14.8,55343.0,4.2,Medium (80-89%)
TEXARKANA SCHOOL DISTRICT,Arkansas,513110.0,05091,3888.0,311.72,12.472731938919543,AR,21.5,50421.0,3.6,Low (<80%)
TEXAS CITY ISD,Texas,4842510.0,48167,7890.0,531.8,14.836404663407297,TX,11.5,83080.0,4.3,Medium (80-89%)
TEXAS COLLEGE PREPARATORY ACADEMIES,Texas,4800163.0,48121,16478.0,1235.47,13.337434336730151,TX,6.1000000000000005,107401.0,3.5,High (>=90%)
TEXAS EMPOWERMENT ACADEMY,Texas,4800066.0,48453,399.0,28.9,13.806228373702423,TX,10.200000000000001,97544.0,3.3000000000000003,Medium (80-89%)
TEXAS LEADERSHIP PUBLIC SCHOOLS,Texas,4801409.0,48451,3722.0,269.99,13.78569576650987,TX,14.600000000000001,60379.0,3.5,Medium (80-89%)
TEXAS PREPARATORY SCHOOL,Texas,4800194.0,48209,73.0,12.57,5.807478122513922,TX,9.8,88491.0,3.3000000000000003,High (>=90%)
TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,Texas,4800252.0,48453,127.0,,,TX,10.200000000000001,97544.0,3.3000000000000003,Medium (80-89%)
TEXAS SCH FOR THE DEAF,Texas,4800253.0,48453,473.0,,,TX,10.200000000000001,97544.0,3.3000000000000003,Medium (80-89%)
TEXAS SCHOOL OF THE ARTS,Texas,4800287.0,48439,334.0,24.41,13.682916837361736,TX,11.0,80083.0,3.7,Medium (80-89%)
TEXAS SERENITY ACADEMY,Texas,4800151.0,48201,179.0,11.4,15.701754385964911,TX,16.0,72348.0,4.3,Medium (80-89%)
TEXAS TECH UNIVERSITY K-12,TEXAS,4801480.0,48303,735.0,36.9,19.91869918699187,TX,17.1,57883.0,3.3000000000000003,Medium (80-89%)
TEXHOMA,Oklahoma,4029820.0,40139,226.0,17.14,13.185530921820304,OK,11.5,67901.0,2.1,Medium (80-89%)
TEXHOMA ISD,Texas,4842540.0,48421,172.0,11.57,14.866032843560934,TX,12.8,66202.0,3.2,Medium (80-89%)
TEXICO,New Mexico,3502580.0,35009,551.0,39.79,13.847700427243026,NM,18.900000000000002,53858.0,2.9000000000000004,Medium (80-89%)
TEXLINE ISD,Texas,4842570.0,48111,220.0,23.42,9.393680614859093,TX,12.200000000000001,61424.0,2.6,Medium (80-89%)
